Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-29 23:57:43.361,114279.0,0.004,BTCUSDT
2025-09-29 23:57:43.452,114278.9,0.004,BTCUSDT
2025-09-29 23:57:43.694,114279.0,0.015,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.036,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.276,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.176,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.002,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.003,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.041,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.237,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.007,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.003,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.017,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.067,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.101,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.053,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.323,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.177,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.299,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.034,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.152,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.375,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.272,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.35,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.181,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.85,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.177,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.511,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.495,BTCUSDT
2025-09-29 23:57:43.877,114279.0,1.0,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.04,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.27,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.163,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.15,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.15,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.348,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.008,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.009,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.051,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.002,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.035,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.5,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.538,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.002,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.185,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.25,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.004,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.029,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.736,BTCUSDT
2025-09-29 23:57:43.877,114279.0,0.002,BTCUSDT
2025-09-29 23:57:43.877,114279.1,0.001,BTCUSDT
2025-09-29 23:57:43.877,114279.1,0.001,BTCUSDT
2025-09-29 23:57:43.877,114279.1,0.027,BTCUSDT
2025-09-29 23:57:43.877,114279.1,0.001,BTCUSDT
2025-09-29 23:57:43.877,114279.1,0.002,BTCUSDT
2025-09-29 23:57:43.877,114279.1,0.002,BTCUSDT
2025-09-29 23:57:43.877,114279.1,0.002,BTCUSDT
2025-09-29 23:57:43.877,114279.2,0.002,BTCUSDT
2025-09-29 23:57:43.877,114279.3,0.002,BTCUSDT
2025-09-29 23:57:43.877,114279.3,0.001,BTCUSDT
2025-09-29 23:57:43.877,114279.3,0.002,BTCUSDT
2025-09-29 23:57:43.877,114279.3,0.004,BTCUSDT
2025-09-29 23:57:43.877,114279.3,0.005,BTCUSDT
2025-09-29 23:57:43.877,114279.4,0.002,BTCUSDT
2025-09-29 23:57:43.877,114279.9,0.002,BTCUSDT
2025-09-29 23:57:43.877,114279.9,0.004,BTCUSDT
2025-09-29 23:57:43.877,114280.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114280.2,0.001,BTCUSDT
2025-09-29 23:57:43.877,114280.4,0.001,BTCUSDT
2025-09-29 23:57:43.877,114280.5,0.002,BTCUSDT
2025-09-29 23:57:43.877,114280.7,0.002,BTCUSDT
2025-09-29 23:57:43.877,114280.8,0.046,BTCUSDT
2025-09-29 23:57:43.877,114281.1,0.067,BTCUSDT
2025-09-29 23:57:43.877,114281.6,0.002,BTCUSDT
2025-09-29 23:57:43.877,114281.6,0.002,BTCUSDT
2025-09-29 23:57:43.877,114281.6,0.002,BTCUSDT
2025-09-29 23:57:43.877,114282.0,0.002,BTCUSDT
2025-09-29 23:57:43.877,114282.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114282.1,0.001,BTCUSDT
2025-09-29 23:57:43.877,114282.2,0.002,BTCUSDT
2025-09-29 23:57:43.877,114282.3,0.001,BTCUSDT
2025-09-29 23:57:43.877,114282.3,0.065,BTCUSDT
2025-09-29 23:57:43.877,114282.6,0.002,BTCUSDT
2025-09-29 23:57:43.877,114282.6,0.003,BTCUSDT
2025-09-29 23:57:43.877,114282.7,0.001,BTCUSDT
2025-09-29 23:57:43.877,114282.8,0.002,BTCUSDT
2025-09-29 23:57:43.877,114282.8,0.001,BTCUSDT
2025-09-29 23:57:43.877,114282.8,0.002,BTCUSDT
2025-09-29 23:57:43.877,114282.9,0.002,BTCUSDT
2025-09-29 23:57:43.877,114283.0,0.001,BTCUSDT
2025-09-29 23:57:43.877,114283.1,0.058,BTCUSDT
2025-09-29 23:57:43.877,114283.1,0.001,BTCUSDT
2025-09-29 23:57:43.877,114283.1,0.683,BTCUSDT
2025-09-29 23:57:43.877,114283.2,0.415,BTCUSDT
2025-09-29 23:57:43.877,114283.3,0.002,BTCUSDT
2025-09-29 23:57:43.877,114283.3,0.403,BTCUSDT
2025-09-29 23:57:43.877,114283.4,0.002,BTCUSDT
2025-09-29 23:57:43.877,114283.4,0.131,BTCUSDT
2025-09-29 23:57:43.877,114283.5,0.001,BTCUSDT
2025-09-29 23:57:43.877,114283.6,0.414,BTCUSDT
2025-09-29 23:57:43.877,114283.6,0.001,BTCUSDT
2025-09-29 23:57:43.878,114283.7,0.059,BTCUSDT
2025-09-29 23:57:43.878,114283.7,0.411,BTCUSDT
2025-09-29 23:57:43.878,114283.8,0.533,BTCUSDT
2025-09-29 23:57:43.878,114283.9,0.001,BTCUSDT
2025-09-29 23:57:43.878,114284.0,0.001,BTCUSDT
2025-09-29 23:57:43.878,114284.1,0.002,BTCUSDT
2025-09-29 23:57:43.878,114284.2,0.001,BTCUSDT
2025-09-29 23:57:43.878,114284.2,0.005,BTCUSDT
2025-09-29 23:57:43.878,114284.3,0.012,BTCUSDT
2025-09-29 23:57:43.878,114284.3,0.001,BTCUSDT
2025-09-29 23:57:43.878,114284.4,0.002,BTCUSDT
2025-09-29 23:57:43.878,114284.4,0.059,BTCUSDT
2025-09-29 23:57:43.878,114284.5,0.151,BTCUSDT
2025-09-29 23:57:43.878,114284.5,0.147,BTCUSDT
2025-09-29 23:57:43.878,114284.5,0.161,BTCUSDT
2025-09-29 23:57:43.878,114284.5,0.003,BTCUSDT
2025-09-29 23:57:43.878,114284.5,0.087,BTCUSDT
2025-09-29 23:57:43.878,114284.6,0.173,BTCUSDT
2025-09-29 23:57:43.878,114284.7,0.671,BTCUSDT
2025-09-29 23:57:43.878,114284.7,0.002,BTCUSDT
2025-09-29 23:57:43.878,114284.7,0.001,BTCUSDT
2025-09-29 23:57:43.878,114284.7,0.019,BTCUSDT
2025-09-29 23:57:43.878,114285.0,0.001,BTCUSDT
2025-09-29 23:57:43.878,114285.1,0.002,BTCUSDT
2025-09-29 23:57:43.878,114285.3,0.002,BTCUSDT
2025-09-29 23:57:43.878,114285.5,0.001,BTCUSDT
2025-09-29 23:57:43.878,114285.5,0.002,BTCUSDT
2025-09-29 23:57:43.878,114285.6,0.001,BTCUSDT
2025-09-29 23:57:43.878,114285.6,0.001,BTCUSDT
2025-09-29 23:57:43.878,114285.9,0.002,BTCUSDT
2025-09-29 23:57:43.878,114286.0,0.002,BTCUSDT
2025-09-29 23:57:43.878,114286.0,0.001,BTCUSDT
2025-09-29 23:57:43.878,114286.0,0.05,BTCUSDT
2025-09-29 23:57:43.878,114286.1,0.001,BTCUSDT
2025-09-29 23:57:43.878,114286.2,0.829,BTCUSDT
2025-09-29 23:57:43.878,114286.3,0.005,BTCUSDT
2025-09-29 23:57:43.878,114286.3,1.225,BTCUSDT
2025-09-29 23:57:43.878,114286.3,0.184,BTCUSDT
2025-09-29 23:57:43.878,114286.4,0.002,BTCUSDT
2025-09-29 23:57:43.878,114286.4,0.002,BTCUSDT
2025-09-29 23:57:43.878,114286.6,0.002,BTCUSDT
2025-09-29 23:57:43.878,114286.6,0.002,BTCUSDT
2025-09-29 23:57:43.878,114286.8,0.001,BTCUSDT
2025-09-29 23:57:43.878,114286.9,0.002,BTCUSDT
2025-09-29 23:57:43.878,114286.9,0.002,BTCUSDT
2025-09-29 23:57:43.878,114287.0,0.002,BTCUSDT
2025-09-29 23:57:43.878,114287.0,0.602,BTCUSDT
2025-09-29 23:57:43.878,114287.0,0.065,BTCUSDT
2025-09-29 23:57:43.878,114287.0,0.05,BTCUSDT
2025-09-29 23:57:43.878,114287.0,0.159,BTCUSDT
2025-09-29 23:57:43.878,114287.0,0.112,BTCUSDT
2025-09-29 23:57:43.878,114287.0,0.002,BTCUSDT
2025-09-29 23:57:43.878,114287.1,0.001,BTCUSDT
2025-09-29 23:57:43.878,114287.3,0.002,BTCUSDT
2025-09-29 23:57:43.878,114287.3,0.002,BTCUSDT
2025-09-29 23:57:43.878,114287.3,0.001,BTCUSDT
2025-09-29 23:57:43.878,114287.4,0.008,BTCUSDT
2025-09-29 23:57:43.878,114287.4,0.002,BTCUSDT
2025-09-29 23:57:43.878,114287.5,0.026,BTCUSDT
2025-09-29 23:57:43.878,114287.6,0.003,BTCUSDT
2025-09-29 23:57:43.878,114288.0,0.002,BTCUSDT
2025-09-29 23:57:43.878,114288.0,0.03,BTCUSDT
2025-09-29 23:57:43.878,114288.0,0.005,BTCUSDT
2025-09-29 23:57:43.878,114288.0,0.08,BTCUSDT
2025-09-29 23:57:43.878,114288.3,0.002,BTCUSDT
2025-09-29 23:57:43.878,114288.3,0.007,BTCUSDT
2025-09-29 23:57:43.878,114288.3,0.002,BTCUSDT
2025-09-29 23:57:43.878,114288.4,0.002,BTCUSDT
2025-09-29 23:57:43.878,114288.4,0.067,BTCUSDT
2025-09-29 23:57:43.878,114288.5,0.002,BTCUSDT
2025-09-29 23:57:43.878,114288.5,0.002,BTCUSDT
2025-09-29 23:57:43.878,114288.6,0.002,BTCUSDT
2025-09-29 23:57:43.878,114288.7,0.001,BTCUSDT
2025-09-29 23:57:43.878,114288.9,0.001,BTCUSDT
2025-09-29 23:57:43.878,114289.0,0.171,BTCUSDT
2025-09-29 23:57:43.878,114289.0,0.001,BTCUSDT
2025-09-29 23:57:43.878,114289.0,0.002,BTCUSDT
2025-09-29 23:57:43.878,114289.2,0.002,BTCUSDT
2025-09-29 23:57:43.878,114289.2,0.002,BTCUSDT
2025-09-29 23:57:43.878,114289.3,0.001,BTCUSDT
2025-09-29 23:57:43.878,114289.3,0.002,BTCUSDT
2025-09-29 23:57:43.878,114289.3,0.003,BTCUSDT
2025-09-29 23:57:43.878,114289.4,0.001,BTCUSDT
2025-09-29 23:57:43.878,114289.6,0.002,BTCUSDT
2025-09-29 23:57:43.878,114289.6,0.002,BTCUSDT
2025-09-29 23:57:43.878,114289.8,0.002,BTCUSDT
2025-09-29 23:57:43.878,114290.0,0.002,BTCUSDT
2025-09-29 23:57:43.878,114290.0,0.001,BTCUSDT
2025-09-29 23:57:43.878,114290.0,0.001,BTCUSDT
2025-09-29 23:57:43.878,114290.1,0.144,BTCUSDT
2025-09-29 23:57:43.878,114290.1,0.184,BTCUSDT
2025-09-29 23:57:43.878,114290.1,0.028,BTCUSDT
2025-09-29 23:57:43.878,114290.2,0.026,BTCUSDT
2025-09-29 23:57:43.878,114290.2,0.026,BTCUSDT
2025-09-29 23:57:43.878,114290.2,0.001,BTCUSDT
2025-09-29 23:57:43.878,114290.4,0.002,BTCUSDT
2025-09-29 23:57:43.878,114290.4,0.058,BTCUSDT
2025-09-29 23:57:43.878,114290.4,0.961,BTCUSDT
2025-09-29 23:57:43.878,114290.4,1.563,BTCUSDT
2025-09-29 23:57:43.878,114290.4,0.026,BTCUSDT
2025-09-29 23:57:43.878,114290.5,0.001,BTCUSDT
2025-09-29 23:57:43.878,114290.5,0.006,BTCUSDT
2025-09-29 23:57:43.878,114290.5,0.656,BTCUSDT
2025-09-29 23:57:43.878,114290.5,0.656,BTCUSDT
2025-09-29 23:57:43.878,114290.7,0.002,BTCUSDT
2025-09-29 23:57:43.878,114290.8,0.002,BTCUSDT
2025-09-29 23:57:43.878,114290.8,0.002,BTCUSDT
2025-09-29 23:57:43.878,114290.9,0.002,BTCUSDT
2025-09-29 23:57:43.878,114291.0,0.001,BTCUSDT
2025-09-29 23:57:43.878,114291.0,0.001,BTCUSDT
2025-09-29 23:57:43.878,114291.0,0.002,BTCUSDT
2025-09-29 23:57:43.878,114291.0,0.385,BTCUSDT
2025-09-29 23:57:43.878,114291.0,1.432,BTCUSDT
2025-09-29 23:57:43.878,114291.1,1.5,BTCUSDT
2025-09-29 23:57:43.878,114291.1,0.002,BTCUSDT
2025-09-29 23:57:43.878,114291.2,0.005,BTCUSDT
2025-09-29 23:57:43.878,114291.3,0.002,BTCUSDT
2025-09-29 23:57:43.878,114291.3,0.066,BTCUSDT
2025-09-29 23:57:43.878,114291.6,0.002,BTCUSDT
2025-09-29 23:57:43.878,114291.6,0.002,BTCUSDT
2025-09-29 23:57:43.878,114291.6,0.001,BTCUSDT
2025-09-29 23:57:43.878,114291.6,0.065,BTCUSDT
2025-09-29 23:57:43.878,114291.6,0.001,BTCUSDT
2025-09-29 23:57:43.878,114291.7,0.05,BTCUSDT
2025-09-29 23:57:43.878,114291.8,1.225,BTCUSDT
2025-09-29 23:57:43.878,114291.9,0.006,BTCUSDT
2025-09-29 23:57:43.878,114292.2,0.001,BTCUSDT
2025-09-29 23:57:43.878,114292.2,0.002,BTCUSDT
2025-09-29 23:57:43.878,114292.2,0.001,BTCUSDT
2025-09-29 23:57:43.878,114292.4,0.002,BTCUSDT
2025-09-29 23:57:43.878,114292.5,0.001,BTCUSDT
2025-09-29 23:57:43.878,114292.5,1.54,BTCUSDT
2025-09-29 23:57:43.878,114292.7,0.002,BTCUSDT
2025-09-29 23:57:43.878,114292.7,0.002,BTCUSDT
2025-09-29 23:57:43.878,114292.7,0.037,BTCUSDT
2025-09-29 23:57:43.878,114292.7,0.028,BTCUSDT
2025-09-29 23:57:43.878,114292.7,0.032,BTCUSDT
2025-09-29 23:57:43.878,114292.7,0.026,BTCUSDT
2025-09-29 23:57:43.878,114292.7,0.063,BTCUSDT
2025-09-29 23:57:43.878,114292.7,0.026,BTCUSDT
2025-09-29 23:57:43.878,114292.7,0.01,BTCUSDT
2025-09-29 23:57:43.878,114292.7,0.002,BTCUSDT
2025-09-29 23:57:43.878,114292.7,0.006,BTCUSDT
2025-09-29 23:57:43.878,114292.7,0.001,BTCUSDT
2025-09-29 23:57:43.878,114292.7,0.002,BTCUSDT
2025-09-29 23:57:43.878,114292.8,0.001,BTCUSDT
2025-09-29 23:57:43.878,114292.8,0.002,BTCUSDT
2025-09-29 23:57:43.878,114292.8,0.456,BTCUSDT
2025-09-29 23:57:43.878,114292.9,0.6,BTCUSDT
2025-09-29 23:57:43.878,114293.0,0.002,BTCUSDT
2025-09-29 23:57:43.878,114293.1,0.001,BTCUSDT
2025-09-29 23:57:43.878,114293.1,0.001,BTCUSDT
2025-09-29 23:57:43.878,114293.2,0.001,BTCUSDT
2025-09-29 23:57:43.878,114293.2,0.002,BTCUSDT
2025-09-29 23:57:43.878,114293.4,0.002,BTCUSDT
2025-09-29 23:57:43.878,114293.5,0.001,BTCUSDT
2025-09-29 23:57:43.878,114293.5,1.313,BTCUSDT
2025-09-29 23:57:43.878,114293.6,0.184,BTCUSDT
2025-09-29 23:57:43.878,114293.7,0.002,BTCUSDT
2025-09-29 23:57:43.878,114293.8,0.001,BTCUSDT
2025-09-29 23:57:43.878,114293.9,1.313,BTCUSDT
2025-09-29 23:57:43.878,114294.0,0.002,BTCUSDT
2025-09-29 23:57:43.878,114294.0,0.002,BTCUSDT
2025-09-29 23:57:43.878,114294.0,0.385,BTCUSDT
2025-09-29 23:57:43.878,114294.1,0.002,BTCUSDT
2025-09-29 23:57:43.878,114294.3,0.001,BTCUSDT
2025-09-29 23:57:43.878,114294.4,0.457,BTCUSDT
2025-09-29 23:57:43.878,114294.6,0.002,BTCUSDT
2025-09-29 23:57:43.878,114294.6,0.002,BTCUSDT
2025-09-29 23:57:43.878,114294.6,0.002,BTCUSDT
2025-09-29 23:57:43.878,114294.6,0.002,BTCUSDT
2025-09-29 23:57:43.878,114294.8,0.1,BTCUSDT
2025-09-29 23:57:43.878,114294.8,0.001,BTCUSDT
2025-09-29 23:57:43.878,114294.9,0.005,BTCUSDT
2025-09-29 23:57:43.878,114294.9,0.05,BTCUSDT
2025-09-29 23:57:43.878,114295.0,0.001,BTCUSDT
2025-09-29 23:57:43.878,114295.0,0.002,BTCUSDT
2025-09-29 23:57:43.878,114295.1,0.002,BTCUSDT
2025-09-29 23:57:43.878,114295.2,0.001,BTCUSDT
2025-09-29 23:57:43.878,114295.2,0.002,BTCUSDT
2025-09-29 23:57:43.878,114295.2,0.32,BTCUSDT
2025-09-29 23:57:43.878,114295.2,0.001,BTCUSDT
2025-09-29 23:57:43.878,114295.4,1.225,BTCUSDT
2025-09-29 23:57:43.878,114295.5,0.001,BTCUSDT
2025-09-29 23:57:43.878,114295.5,0.385,BTCUSDT
2025-09-29 23:57:43.878,114295.5,0.6,BTCUSDT
2025-09-29 23:57:43.878,114295.7,0.002,BTCUSDT
2025-09-29 23:57:43.878,114295.8,0.002,BTCUSDT
2025-09-29 23:57:43.878,114295.9,0.02,BTCUSDT
2025-09-29 23:57:43.878,114296.0,0.001,BTCUSDT
2025-09-29 23:57:43.878,114296.0,0.001,BTCUSDT
2025-09-29 23:57:43.878,114296.0,0.174,BTCUSDT
2025-09-29 23:57:43.878,114296.1,0.057,BTCUSDT
2025-09-29 23:57:43.878,114296.2,0.001,BTCUSDT
2025-09-29 23:57:43.878,114296.2,0.001,BTCUSDT
2025-09-29 23:57:43.878,114296.2,0.035,BTCUSDT
2025-09-29 23:57:43.878,114296.2,0.001,BTCUSDT
